#dt=1.000000e-08 Ndt=2500000 T=0.025 t1=35.2766 n=3527663520LU=2.50025e+10LF
#-8 8 27 0 0 #x,y,z t j
-0.1454910664133199545853599525388562869916628695517633873018691552187461749136042e1 -0.2872755245701274456347074570062863384737858144852085141817092367310468314000484e1 0.1951574540899681793212815794473300079200811066086605591142341398981567576668202e2 0.2274999999999999999999999999999999999999999999999999999999999999999999673631259e1 91
-0.1800317822952290189809842086962427652969869426455161426078350618628963447698908e1 -0.3167354876796553926389409167276505587126249308537020875766734024177702505838383e1 0.1837609750183174127957658334382526131417831806421140148512095428592549964843731e2 0.2299999999999999999999999999999999999999999999999999999999999999999999667231872e1 92
-0.2148385849826094711781368144703238403852482060990638964902789236253941909889469e1 -0.3584383051293423891060867167267573406912268024274135297560612717499025552603948e1 0.173520959162300366800903432956126094235330841328788950096952273410551049876491e2 0.2324999999999999999999999999999999999999999999999999999999999999999999660832485e1 93
-0.252705438127164878453787210731709991456276664459132139740718500340842146805246e1 -0.4137118446922772119714550690427013594276312280646285821506735852751153911655044e1 0.1645105932119277507505372848830853964902772109929658463162277831445185673335601e2 0.2349999999999999999999999999999999999999999999999999999999999999999999654433098e1 94
-0.2961559525696583066875435996377107650994446502399089251754082886205843635472604e1 -0.4843577528464784767333373407658821948736358202999789849621291980881489964767768e1 0.156877264939820713042000672478846144480944416865407477633310304294333394552128e2 0.2374999999999999999999999999999999999999999999999999999999999999999999648033711e1 95
-0.3476070466790065004525298746878618409810271408312919651514435020694610816259827e1 -0.5726219101958772935621088410819403167140797556076006818169202505345660634449516e1 0.1508684956853544859235185475387040685461671642453866023288128146183555947796505e2 0.2399999999999999999999999999999999999999999999999999999999999999999999641634323e1 96
-0.4094724191219401868792179377884736159901535008450361545279549828745246906401081e1 -0.6810029557576289621718821096928388250273876051246377184393181001579635573110135e1 0.1468702241668187461808740281299414381684403155756566409951710190957780344801269e2 0.2424999999999999999999999999999999999999999999999999999999999999999999635234936e1 97
-0.4841731278122012351812694799940906382228530672421589663443038440906717072155519e1 -0.8117987509618310206985199503966061648153778495099509854289700629247791065636173e1 0.1454569449112280176416252385167075582765790531372941242895260982157761691304284e2 0.2449999999999999999999999999999999999999999999999999999999999999999999628835549e1 98
-0.5739986897285351486511379033090191867475849149612510237205223067369930465897263e1 -0.9662107335553237302382326050057935407412188368418673804174755570085076815055474e1 0.1474472161232195065761692559654875385235061787368338786473890788039578320981958e2 0.2474999999999999999999999999999999999999999999999999999999999999999999622436162e1 99
-0.6807254165678660838807892040375955427564626828573621058252956701177709916453183e1 -0.1142748896148493749900628817911483895415110037831347663773117007514733827450636e2 0.1539427703114243960489442553722781834481996859893039320642344971681191123435777e2 0.2499999999999999999999999999999999999999999999999999999999999999999999616036775e1 100
-0.8048603497587798490471373655919538150078516764022450826623531315317680404171416e1 -0.1334688159714124549343784045432002300680809036897511329295617541035563903882375e2 0.1662983886155664429088654228644654003311308915387737265994038847114059802657204e2 0.2524999999999999999999999999999999999999999999999999999999999999999999609637388e1 101
-0.9443804181129201517552360936495784198970850427149436430143795976712423105373711e1 -0.152663979447290209463379914804291020009897020116236794888927216455947873836839e2 0.1859208843314503351019246503438285291052433998841601029652232308225467475795833e2 0.2549999999999999999999999999999999999999999999999999999999999999999999603238001e1 102
-0.1092978765448773676369733513051969394848901532284675281662846685031263715460268e2 -0.1691311025940744771789665719350084538542147926279152092837016674281130529893561e2 0.2137534834846325330818916109519209520273227688466344128981790457837183471167933e2 0.2574999999999999999999999999999999999999999999999999999999999999999999596838614e1 103
-0.1238275803523115608930107572719186956181809858542575722702497693616853119864762e2 -0.1789488652834908245163415398127843794464371266910752895800443697060884915388701e2 0.2493588016538418668637100566216202599585377243885189495205969392647014595857319e2 0.2599999999999999999999999999999999999999999999999999999999999999999999590439227e1 104
-0.136126362456802532626730428161426308379151124207376456033869308443870624413462e2 -0.1778130710025987031343575234000988814707564691487888005924547052506905317443436e2 0.2898337150189536814820589769076911569270615358196036680457323673921324599454374e2 0.262499999999999999999999999999999999999999999999999999999999999999999958403984e1 105
-0.1438925931843956884762731932664217541037543189917663185058985598749696987578162e2 -0.1629268167737146383980691124722816403237633180750956782629802246802237685688954e2 0.329392190377876493969442078562967857728065110215254819916518468630914822752612e2 0.2649999999999999999999999999999999999999999999999999999999999999999999577640453e1 106
